id_reclamation,id_client,date,canal,texte,satisfaction
REC-00026,CLI-00341,2024-08-21,courrier,"Coupure de courant de plusieurs heures dans le secteur Plateau-Est en aout, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00027,CLI-00348,2025-10-26,email,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00028,CLI-00011,2025-12-14,telephone,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",3
REC-00029,CLI-00537,2024-11-02,telephone,"Coupure de courant de plusieurs heures dans le secteur Parc-Tertiaire en novembre, aucune information, c'est inadmissible pour un service essentiel.",1
REC-00030,CLI-00446,2024-08-16,email,"Je souhaite augmenter la puissance de mon compteur, comment proceder ?",2
REC-00031,CLI-00167,2025-08-24,email,Pouvez-vous m'expliquer comment installer des panneaux solaires et revendre mon surplus ?,3
REC-00032,CLI-00172,2024-01-03,email,"Je demande le raccordement de mon nouveau logement a Parc-Tertiaire, quel est le delai et le cout ?",3
REC-00033,CLI-00192,2024-07-07,telephone,"Coupure de courant de plusieurs heures dans le secteur Centre-Ville en juillet, aucune information, c'est inadmissible pour un service essentiel.",3
REC-00034,CLI-00338,2024-08-26,courrier,"Je souhaite augmenter la puissance de mon compteur, comment proceder ?",2
REC-00035,CLI-00062,2025-01-29,courrier,"Depuis l'installation du nouveau compteur en janvier, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",3
REC-00036,CLI-00429,2026-05-07,telephone,"Je conteste ma facture de mai, le montant de 408 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00037,CLI-00541,2025-10-07,email,"Encore une coupure cette nuit a Bourg-Ancien, mes appareils ont ete endommages, je demande un dedommagement.",1
REC-00038,CLI-00102,2025-09-04,email,Quelle est la part d'energie verte reellement fournie sur le secteur Rives-Sud ?,2
REC-00039,CLI-00451,2026-05-28,espace_client,"Les microcoupures se multiplient depuis mai sur Parc-Tertiaire, quand le reseau sera-t-il fiabilise ?",2
REC-00040,CLI-00346,2026-05-11,espace_client,"Les microcoupures se multiplient depuis mai sur Rives-Sud, quand le reseau sera-t-il fiabilise ?",3
REC-00041,CLI-00483,2024-10-26,espace_client,"Depuis l'installation du nouveau compteur en octobre, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",3
REC-00042,CLI-00502,2024-05-15,courrier,"Les microcoupures se multiplient depuis mai sur Coteaux-Ouest, quand le reseau sera-t-il fiabilise ?",3
REC-00043,CLI-00267,2025-04-08,espace_client,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",2
REC-00044,CLI-00553,2025-05-15,email,"Je souhaite passer a une offre d'electricite d'origine renouvelable, quelles sont vos options ?",3
REC-00045,CLI-00293,2026-01-28,email,"Coupure de courant de plusieurs heures dans le secteur Val-Nord en janvier, aucune information, c'est inadmissible pour un service essentiel.",3
REC-00046,CLI-00552,2025-05-30,espace_client,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",2
REC-00047,CLI-00130,2025-03-31,espace_client,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",1
REC-00048,CLI-00646,2024-04-07,espace_client,"Les microcoupures se multiplient depuis avril sur Bourg-Ancien, quand le reseau sera-t-il fiabilise ?",1
REC-00049,CLI-00122,2025-12-12,email,"Je conteste ma facture de decembre, le montant de 546 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",2
REC-00050,CLI-00660,2025-05-28,email,"Probleme resolu rapidement par votre service client, je suis tres satisfait de la prise en charge.",4
REC-00051,CLI-00658,2024-07-15,email,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",3
REC-00052,CLI-00550,2025-04-20,espace_client,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",2
REC-00053,CLI-00335,2024-10-15,email,"Coupure de courant de plusieurs heures dans le secteur Val-Nord en octobre, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00054,CLI-00591,2025-11-24,courrier,"Je conteste ma facture de novembre, le montant de 443 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00055,CLI-00306,2024-02-12,email,"Encore une coupure cette nuit a Rives-Sud, mes appareils ont ete endommages, je demande un dedommagement.",1
REC-00056,CLI-00407,2024-10-19,email,"Ma facture de regularisation de octobre est incomprehensible, je demande un echeancier et des explications detaillees.",1
REC-00057,CLI-00694,2025-11-27,espace_client,"Coupure de courant de plusieurs heures dans le secteur Val-Nord en novembre, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00058,CLI-00179,2025-02-23,telephone,"Je souhaite augmenter la puissance de mon compteur, comment proceder ?",4
REC-00059,CLI-00275,2026-04-16,telephone,"Les microcoupures se multiplient depuis avril sur Coteaux-Ouest, quand le reseau sera-t-il fiabilise ?",3
REC-00060,CLI-00166,2024-06-15,telephone,Pouvez-vous m'expliquer comment installer des panneaux solaires et revendre mon surplus ?,2
REC-00061,CLI-00311,2025-01-24,email,"Ma facture de regularisation de janvier est incomprehensible, je demande un echeancier et des explications detaillees.",3
REC-00062,CLI-00233,2024-04-27,telephone,"Mon dossier de raccordement est bloque depuis avril, je n'ai aucune nouvelle de vos services.",4
REC-00063,CLI-00066,2025-07-16,espace_client,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00064,CLI-00460,2024-09-29,espace_client,"Encore une coupure cette nuit a Centre-Ville, mes appareils ont ete endommages, je demande un dedommagement.",2
REC-00065,CLI-00042,2024-05-18,telephone,"Mon dossier de raccordement est bloque depuis mai, je n'ai aucune nouvelle de vos services.",2
REC-00066,CLI-00175,2024-10-26,courrier,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",3
REC-00067,CLI-00353,2025-06-30,email,"Ma facture de regularisation de juin est incomprehensible, je demande un echeancier et des explications detaillees.",2
REC-00068,CLI-00454,2025-10-03,espace_client,"Probleme resolu rapidement par votre service client, je suis tres satisfait de la prise en charge.",4
REC-00069,CLI-00461,2024-02-25,espace_client,"Je demande le raccordement de mon nouveau logement a Plateau-Est, quel est le delai et le cout ?",2
REC-00070,CLI-00640,2024-08-25,espace_client,"Les microcoupures se multiplient depuis aout sur Plateau-Est, quand le reseau sera-t-il fiabilise ?",2
REC-00071,CLI-00434,2024-11-19,email,"Je souhaite passer a une offre d'electricite d'origine renouvelable, quelles sont vos options ?",3
REC-00072,CLI-00538,2024-02-09,courrier,"Ma facture de regularisation de fevrier est incomprehensible, je demande un echeancier et des explications detaillees.",1
REC-00073,CLI-00435,2024-11-29,courrier,"Depuis l'installation du nouveau compteur en novembre, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",2
REC-00074,CLI-00022,2024-09-11,espace_client,"Depuis l'installation du nouveau compteur en septembre, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",3
REC-00075,CLI-00340,2026-04-11,courrier,"Les microcoupures se multiplient depuis avril sur Rives-Sud, quand le reseau sera-t-il fiabilise ?",3
REC-00076,CLI-00430,2024-06-20,courrier,"Coupure de courant de plusieurs heures dans le secteur Centre-Ville en juin, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00077,CLI-00434,2025-04-24,espace_client,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",3
REC-00078,CLI-00417,2026-03-31,courrier,"Je conteste ma facture de mars, le montant de 1064 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00079,CLI-00402,2024-02-27,courrier,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",2
REC-00080,CLI-00524,2025-06-27,email,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",2
REC-00081,CLI-00206,2026-01-23,courrier,"Depuis l'installation du nouveau compteur en janvier, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",2
REC-00082,CLI-00352,2025-01-25,telephone,"Je conteste ma facture de janvier, le montant de 1073 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00083,CLI-00406,2026-05-02,courrier,"Ma facture de regularisation de mai est incomprehensible, je demande un echeancier et des explications detaillees.",2
REC-00084,CLI-00602,2024-09-24,telephone,"Encore une coupure cette nuit a Centre-Ville, mes appareils ont ete endommages, je demande un dedommagement.",2
REC-00085,CLI-00145,2026-05-29,email,"Encore une coupure cette nuit a Val-Nord, mes appareils ont ete endommages, je demande un dedommagement.",3
REC-00086,CLI-00584,2024-09-22,telephone,"Ma facture de regularisation de septembre est incomprehensible, je demande un echeancier et des explications detaillees.",1
REC-00087,CLI-00219,2025-01-25,espace_client,"Depuis l'installation du nouveau compteur en janvier, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",1
REC-00088,CLI-00320,2025-04-13,telephone,"Mon dossier de raccordement est bloque depuis avril, je n'ai aucune nouvelle de vos services.",3
REC-00089,CLI-00677,2024-08-24,espace_client,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",2
REC-00090,CLI-00056,2026-02-28,telephone,"Coupure de courant de plusieurs heures dans le secteur Coteaux-Ouest en fevrier, aucune information, c'est inadmissible pour un service essentiel.",3
REC-00091,CLI-00112,2024-01-02,email,"Coupure de courant de plusieurs heures dans le secteur Val-Nord en janvier, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00092,CLI-00596,2025-10-10,courrier,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00093,CLI-00661,2025-04-06,telephone,"Depuis l'installation du nouveau compteur en avril, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",3
REC-00094,CLI-00368,2026-01-05,espace_client,"Je tiens a remercier le technicien intervenu en janvier, tres professionnel et a l'ecoute.",4
REC-00095,CLI-00319,2024-06-29,espace_client,"Ma facture de regularisation de juin est incomprehensible, je demande un echeancier et des explications detaillees.",2
REC-00096,CLI-00184,2025-11-21,email,"Les microcoupures se multiplient depuis novembre sur Plateau-Est, quand le reseau sera-t-il fiabilise ?",1
REC-00097,CLI-00295,2026-05-27,telephone,"Les microcoupures se multiplient depuis mai sur Val-Nord, quand le reseau sera-t-il fiabilise ?",3
REC-00098,CLI-00615,2025-03-21,courrier,"Les microcoupures se multiplient depuis mars sur Centre-Ville, quand le reseau sera-t-il fiabilise ?",1
REC-00099,CLI-00426,2025-02-20,email,"Coupure de courant de plusieurs heures dans le secteur Val-Nord en fevrier, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00100,CLI-00220,2026-02-26,telephone,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",2
REC-00101,CLI-00106,2024-01-06,telephone,"Je conteste ma facture de janvier, le montant de 622 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00102,CLI-00130,2024-12-18,email,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00103,CLI-00536,2025-05-06,espace_client,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00104,CLI-00259,2026-05-03,email,"Encore une coupure cette nuit a Parc-Tertiaire, mes appareils ont ete endommages, je demande un dedommagement.",1
REC-00105,CLI-00136,2026-03-01,courrier,"Les microcoupures se multiplient depuis mars sur Val-Nord, quand le reseau sera-t-il fiabilise ?",1
REC-00106,CLI-00011,2026-04-30,espace_client,"Ma facture de regularisation de avril est incomprehensible, je demande un echeancier et des explications detaillees.",1
REC-00107,CLI-00268,2025-11-22,email,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00108,CLI-00497,2024-10-16,telephone,"Ma facture de regularisation de octobre est incomprehensible, je demande un echeancier et des explications detaillees.",2
REC-00109,CLI-00448,2026-01-17,courrier,"Le nouvel espace client est clair et pratique, bravo pour cette amelioration.",5
REC-00110,CLI-00488,2025-11-04,espace_client,Pouvez-vous m'expliquer comment installer des panneaux solaires et revendre mon surplus ?,4
REC-00111,CLI-00118,2025-01-24,email,Pouvez-vous m'expliquer comment installer des panneaux solaires et revendre mon surplus ?,2
REC-00112,CLI-00108,2026-01-18,espace_client,"Je souhaite augmenter la puissance de mon compteur, comment proceder ?",4
REC-00113,CLI-00185,2026-05-09,telephone,"Je demande le raccordement de mon nouveau logement a Rives-Sud, quel est le delai et le cout ?",3
REC-00114,CLI-00082,2024-10-26,espace_client,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",3
REC-00115,CLI-00398,2025-11-18,email,"Je conteste ma facture de novembre, le montant de 1056 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00116,CLI-00071,2025-05-23,telephone,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00117,CLI-00307,2025-12-19,telephone,"Depuis l'installation du nouveau compteur en decembre, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",2
REC-00118,CLI-00396,2025-12-30,espace_client,"Mon dossier de raccordement est bloque depuis decembre, je n'ai aucune nouvelle de vos services.",2
REC-00119,CLI-00560,2024-06-13,courrier,"Mon dossier de raccordement est bloque depuis juin, je n'ai aucune nouvelle de vos services.",3
REC-00120,CLI-00134,2025-07-23,email,"Je souhaite augmenter la puissance de mon compteur, comment proceder ?",2
REC-00121,CLI-00342,2025-07-29,telephone,"Je conteste ma facture de juillet, le montant de 804 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00122,CLI-00345,2024-09-30,espace_client,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",2
REC-00123,CLI-00223,2025-05-13,email,"Coupure de courant de plusieurs heures dans le secteur Val-Nord en mai, aucune information, c'est inadmissible pour un service essentiel.",1
REC-00124,CLI-00418,2024-04-06,email,"Je conteste ma facture de avril, le montant de 1178 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",1
REC-00125,CLI-00291,2025-11-03,telephone,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00126,CLI-00358,2024-11-27,espace_client,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",2
REC-00127,CLI-00284,2024-09-16,courrier,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",1
REC-00128,CLI-00107,2024-10-08,espace_client,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",2
REC-00129,CLI-00127,2025-12-03,espace_client,"Ma facture de regularisation de decembre est incomprehensible, je demande un echeancier et des explications detaillees.",1
REC-00130,CLI-00176,2025-09-13,espace_client,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",2
REC-00131,CLI-00155,2025-09-06,courrier,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",1
REC-00132,CLI-00320,2025-07-29,email,"Je conteste ma facture de juillet, le montant de 1014 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",2
REC-00133,CLI-00411,2024-09-11,espace_client,"Ma facture de regularisation de septembre est incomprehensible, je demande un echeancier et des explications detaillees.",1
REC-00134,CLI-00328,2024-06-22,espace_client,"Ma facture de regularisation de juin est incomprehensible, je demande un echeancier et des explications detaillees.",1
REC-00135,CLI-00051,2026-03-02,courrier,"Probleme resolu rapidement par votre service client, je suis tres satisfait de la prise en charge.",5
REC-00136,CLI-00154,2025-11-22,courrier,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",3
REC-00137,CLI-00092,2025-02-22,telephone,"Les microcoupures se multiplient depuis fevrier sur Rives-Sud, quand le reseau sera-t-il fiabilise ?",3
REC-00138,CLI-00444,2024-10-31,espace_client,"Encore une coupure cette nuit a Plateau-Est, mes appareils ont ete endommages, je demande un dedommagement.",3
REC-00139,CLI-00322,2026-01-27,telephone,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",1
REC-00140,CLI-00062,2024-09-06,courrier,"Encore une coupure cette nuit a Rives-Sud, mes appareils ont ete endommages, je demande un dedommagement.",1
REC-00141,CLI-00542,2024-12-25,espace_client,"Je conteste ma facture de decembre, le montant de 841 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00142,CLI-00032,2025-06-03,courrier,"Coupure de courant de plusieurs heures dans le secteur Val-Nord en juin, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00143,CLI-00035,2024-03-01,courrier,Quelle est la part d'energie verte reellement fournie sur le secteur Plateau-Est ?,3
REC-00144,CLI-00574,2024-12-21,courrier,Pouvez-vous m'expliquer comment installer des panneaux solaires et revendre mon surplus ?,2
REC-00145,CLI-00074,2025-11-08,courrier,Pouvez-vous m'expliquer comment installer des panneaux solaires et revendre mon surplus ?,4
REC-00146,CLI-00313,2024-09-13,telephone,"Les microcoupures se multiplient depuis septembre sur Bourg-Ancien, quand le reseau sera-t-il fiabilise ?",2
REC-00147,CLI-00344,2025-06-18,courrier,"Depuis l'installation du nouveau compteur en juin, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",1
REC-00148,CLI-00512,2026-03-27,espace_client,"Encore une coupure cette nuit a Bourg-Ancien, mes appareils ont ete endommages, je demande un dedommagement.",3
REC-00149,CLI-00181,2026-02-18,telephone,"Encore une coupure cette nuit a Centre-Ville, mes appareils ont ete endommages, je demande un dedommagement.",2
REC-00150,CLI-00005,2024-01-14,email,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",3
REC-00151,CLI-00425,2025-07-16,email,"Ma facture de regularisation de juillet est incomprehensible, je demande un echeancier et des explications detaillees.",1
REC-00152,CLI-00544,2024-03-02,espace_client,"Coupure de courant de plusieurs heures dans le secteur Rives-Sud en mars, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00153,CLI-00160,2025-09-15,email,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",2
REC-00154,CLI-00367,2024-03-03,courrier,"Le nouvel espace client est clair et pratique, bravo pour cette amelioration.",5
REC-00155,CLI-00672,2025-02-19,courrier,"Je conteste ma facture de fevrier, le montant de 297 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",2
REC-00156,CLI-00326,2026-04-26,espace_client,"Coupure de courant de plusieurs heures dans le secteur Centre-Ville en avril, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00157,CLI-00112,2024-04-22,email,"Probleme resolu rapidement par votre service client, je suis tres satisfait de la prise en charge.",5
REC-00158,CLI-00475,2026-03-23,email,"Depuis l'installation du nouveau compteur en mars, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",2
REC-00159,CLI-00698,2026-05-28,telephone,"Le nouvel espace client est clair et pratique, bravo pour cette amelioration.",4
REC-00160,CLI-00327,2024-07-09,espace_client,"Je conteste ma facture de juillet, le montant de 241 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00161,CLI-00500,2024-12-09,espace_client,Pouvez-vous m'expliquer comment installer des panneaux solaires et revendre mon surplus ?,4
REC-00162,CLI-00619,2026-01-12,email,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",2
REC-00163,CLI-00002,2025-01-06,courrier,"Encore une coupure cette nuit a Plateau-Est, mes appareils ont ete endommages, je demande un dedommagement.",3
REC-00164,CLI-00172,2026-05-14,courrier,"Les microcoupures se multiplient depuis mai sur Parc-Tertiaire, quand le reseau sera-t-il fiabilise ?",2
REC-00165,CLI-00119,2025-01-10,espace_client,"Coupure de courant de plusieurs heures dans le secteur Parc-Tertiaire en janvier, aucune information, c'est inadmissible pour un service essentiel.",2
REC-00166,CLI-00694,2025-04-29,espace_client,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",2
REC-00167,CLI-00041,2024-02-14,courrier,"Les microcoupures se multiplient depuis fevrier sur Parc-Tertiaire, quand le reseau sera-t-il fiabilise ?",3
REC-00168,CLI-00544,2024-03-05,courrier,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",3
REC-00169,CLI-00499,2025-03-18,email,Quelle est la part d'energie verte reellement fournie sur le secteur Val-Nord ?,4
REC-00170,CLI-00514,2025-04-26,email,"Je souhaite augmenter la puissance de mon compteur, comment proceder ?",2
REC-00171,CLI-00676,2025-07-09,email,"Je conteste ma facture de juillet, le montant de 1060 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",3
REC-00172,CLI-00142,2025-06-11,espace_client,"Mon compteur communicant affiche un releve qui ne correspond pas a ma consommation reelle, je pense qu'il est defaillant.",1
REC-00173,CLI-00408,2026-03-06,espace_client,Pouvez-vous m'expliquer comment installer des panneaux solaires et revendre mon surplus ?,4
REC-00174,CLI-00261,2024-08-16,courrier,"Les microcoupures se multiplient depuis aout sur Coteaux-Ouest, quand le reseau sera-t-il fiabilise ?",3
REC-00175,CLI-00430,2024-06-20,telephone,"Les microcoupures se multiplient depuis juin sur Centre-Ville, quand le reseau sera-t-il fiabilise ?",3
REC-00176,CLI-00418,2024-12-07,courrier,"Encore une coupure cette nuit a Plateau-Est, mes appareils ont ete endommages, je demande un dedommagement.",3
REC-00177,CLI-00181,2024-05-22,telephone,"Probleme resolu rapidement par votre service client, je suis tres satisfait de la prise en charge.",5
REC-00178,CLI-00140,2024-10-16,espace_client,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",2
REC-00179,CLI-00110,2025-03-10,espace_client,"Ma facture de regularisation de mars est incomprehensible, je demande un echeancier et des explications detaillees.",3
REC-00180,CLI-00408,2025-03-20,telephone,"Je conteste ma facture de mars, le montant de 475 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",2
REC-00181,CLI-00667,2026-01-23,email,"Ma facture de regularisation de janvier est incomprehensible, je demande un echeancier et des explications detaillees.",2
REC-00182,CLI-00346,2024-08-12,espace_client,"Les microcoupures se multiplient depuis aout sur Rives-Sud, quand le reseau sera-t-il fiabilise ?",3
REC-00183,CLI-00509,2026-03-03,courrier,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",2
REC-00184,CLI-00594,2025-10-12,courrier,"Je demande le raccordement de mon nouveau logement a Zone-Industrielle, quel est le delai et le cout ?",4
REC-00185,CLI-00359,2026-05-14,email,"Je conteste ma facture de mai, le montant de 653 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",1
REC-00186,CLI-00651,2024-05-16,courrier,"Je souhaite augmenter la puissance de mon compteur, comment proceder ?",3
REC-00187,CLI-00469,2026-03-05,email,"Depuis l'installation du nouveau compteur en mars, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",3
REC-00188,CLI-00340,2025-05-13,espace_client,"Je conteste ma facture de mai, le montant de 320 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",1
REC-00189,CLI-00448,2024-07-16,courrier,"Depuis l'installation du nouveau compteur en juillet, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",1
REC-00190,CLI-00168,2026-01-13,email,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",3
REC-00191,CLI-00135,2026-03-07,telephone,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",2
REC-00192,CLI-00630,2025-01-20,espace_client,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",1
REC-00193,CLI-00064,2026-03-08,email,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",3
